Date,Home,Opponent,Result,Year,Month,Day
2008-02-05,1,Detroit Red Wings,L,2008,February,Friday
2008-02-07,1,Dallas Stars,L,2008,February,Sunday
2008-02-09,1,New York Islanders,W,2008,February,Tuesday
2008-02-17,1,Nashville Predators,W,2008,February,Wednesday
2008-02-19,1,Vancouver Canucks,L,2008,February,Friday
2008-02-24,1,Calgary Flames,L,2008,February,Wednesday
2008-03-02,1,Los Angeles Kings,W,2008,March,Tuesday
2008-03-04,1,Chicago Blackhawks,L,2008,March,Thursday
2008-03-09,1,San Jose Sharks,L,2008,March,Tuesday
2008-03-13,1,New Jersey Devils,L,2008,March,Saturday
2008-03-15,1,Los Angeles Kings,W,2008,March,Monday
2008-03-17,1,Colorado Avalanche,W,2008,March,Wednesday
2008-03-26,1,Edmonton Oilers,W,2008,March,Friday
2008-03-28,1,Vancouver Canucks,W,2008,March,Sunday
2008-03-30,1,Colorado Avalanche,W,2008,March,Tuesday
2008-04-03,1,Calgary Flames,W,2008,April,Wednesday
2006-10-05,1,Colorado Avalanche,W,2006,October,Friday
2006-10-07,1,Nashville Predators,W,2006,October,Sunday
2006-10-10,1,Vancouver Canucks,W,2006,October,Wednesday
2006-10-12,1,Washington Capitals,W,2006,October,Friday
2006-10-14,1,Columbus Blue Jackets,W,2006,October,Sunday
2006-10-25,1,Los Angeles Kings,W,2006,October,Thursday
2006-10-27,1,Anaheim Ducks,W,2006,October,Saturday
2006-11-02,1,Vancouver Canucks,W,2006,November,Tuesday
2006-11-04,1,Nashville Predators,L,2006,November,Thursday
2006-11-18,1,Colorado Avalanche,L,2006,November,Thursday
2006-11-24,1,Phoenix Coyotes,W,2006,November,Wednesday
2006-11-29,1,San Jose Sharks,L,2006,November,Monday
2006-12-01,1,Detroit Red Wings,L,2006,December,Monday
2006-12-05,1,Chicago Blackhawks,W,2006,December,Friday
2006-12-07,1,Calgary Flames,W,2006,December,Sunday
2006-12-09,1,Chicago Blackhawks,W,2006,December,Tuesday
2006-12-19,1,Vancouver Canucks,W,2006,December,Friday
2006-12-23,1,Detroit Red Wings,W,2006,December,Tuesday
2006-12-29,1,Columbus Blue Jackets,W,2006,December,Monday
2006-12-31,1,Anaheim Ducks,W,2006,December,Wednesday
2007-01-02,1,Atlanta Thrashers,W,2007,January,Tuesday
2007-01-04,1,Tampa Bay Lightning,L,2007,January,Thursday
2007-01-06,1,Colorado Avalanche,L,2007,January,Saturday
2007-01-16,1,Edmonton Oilers,L,2007,January,Tuesday
2007-01-20,1,Dallas Stars,L,2007,January,Saturday
2007-01-26,1,Calgary Flames,W,2007,January,Friday
2007-02-08,1,Florida Panthers,W,2007,February,Monday
2007-02-10,1,Carolina Hurricanes,W,2007,February,Wednesday
2007-02-14,1,Vancouver Canucks,L,2007,February,Sunday
2007-02-20,1,Dallas Stars,W,2007,February,Saturday
2007-02-25,1,Edmonton Oilers,W,2007,February,Thursday
2007-03-06,1,San Jose Sharks,L,2007,March,Saturday
2007-03-11,1,Colorado Avalanche,W,2007,March,Thursday
2007-03-20,1,Phoenix Coyotes,W,2007,March,Saturday
2007-03-22,1,St. Louis Blues,W,2007,March,Monday
2007-03-24,1,Los Angeles Kings,W,2007,March,Wednesday
2007-03-27,1,Calgary Flames,L,2007,March,Saturday
2007-03-29,1,Calgary Flames,L,2007,March,Monday
2007-04-03,1,Edmonton Oilers,W,2007,April,Wednesday
2007-04-05,1,Edmonton Oilers,W,2007,April,Friday
2007-04-07,1,St. Louis Blues,W,2007,April,Sunday
2005-10-05,1,Calgary Flames,W,2005,October,Friday
2005-10-12,1,Vancouver Canucks,W,2005,October,Friday
2005-10-14,1,Vancouver Canucks,L,2005,October,Sunday
2005-10-16,1,Mighty Ducks of Anaheim,W,2005,October,Tuesday
2005-10-19,1,San Jose Sharks,W,2005,October,Friday
2005-10-25,1,Vancouver Canucks,L,2005,October,Thursday
2005-10-29,1,Columbus Blue Jackets,W,2005,October,Monday
2005-11-08,1,Phoenix Coyotes,L,2005,November,Monday
2005-11-19,1,Nashville Predators,W,2005,November,Friday
2005-11-23,1,Edmonton Oilers,L,2005,November,Tuesday
2005-11-25,1,St. Louis Blues,W,2005,November,Thursday
2005-11-30,1,Columbus Blue Jackets,L,2005,November,Tuesday
2005-12-11,1,Buffalo Sabres,L,2005,December,Thursday
2005-12-15,1,Boston Bruins,L,2005,December,Monday
2005-12-17,1,Montreal Canadiens,W,2005,December,Wednesday
2005-12-19,1,Dallas Stars,W,2005,December,Friday
2005-12-23,1,Colorado Avalanche,W,2005,December,Tuesday
2005-12-31,1,Vancouver Canucks,W,2005,December,Wednesday
2006-01-05,1,Colorado Avalanche,L,2006,January,Friday
2006-01-07,1,Mighty Ducks of Anaheim,W,2006,January,Sunday
2006-01-09,1,Dallas Stars,L,2006,January,Tuesday
2006-01-14,1,Calgary Flames,L,2006,January,Sunday
2006-01-16,1,Ottawa Senators,L,2006,January,Tuesday
2006-01-18,1,Toronto Maple Leafs,W,2006,January,Thursday
2006-01-20,1,Chicago Blackhawks,W,2006,January,Saturday
2006-01-24,1,Phoenix Coyotes,W,2006,January,Wednesday
2006-01-26,1,Nashville Predators,W,2006,January,Friday
2006-01-30,1,Detroit Red Wings,L,2006,January,Tuesday
2006-02-07,1,Los Angeles Kings,W,2006,February,Sunday
2006-02-09,1,Colorado Avalanche,L,2006,February,Tuesday
2006-03-05,1,Colorado Avalanche,W,2006,March,Friday
2006-03-07,1,Los Angeles Kings,L,2006,March,Sunday
2006-03-12,1,Edmonton Oilers,W,2006,March,Friday
2006-03-14,1,Edmonton Oilers,L,2006,March,Sunday
2006-03-19,1,Calgary Flames,L,2006,March,Friday
2006-03-21,1,Calgary Flames,W,2006,March,Sunday
2006-03-25,1,San Jose Sharks,L,2006,March,Thursday
2006-04-02,1,Detroit Red Wings,L,2006,April,Tuesday
2006-04-04,1,St. Louis Blues,W,2006,April,Thursday
2006-04-06,1,Edmonton Oilers,W,2006,April,Saturday
2006-04-11,1,Chicago Blackhawks,W,2006,April,Thursday
2002-10-11,1,Boston Bruins,W,2002,October,Thursday
2002-10-15,1,Florida Panthers,W,2002,October,Monday
2002-10-17,1,Dallas Stars,W,2002,October,Wednesday
2002-10-19,1,Detroit Red Wings,L,2002,October,Friday
2002-10-22,1,Calgary Flames,W,2002,October,Monday
2002-10-29,1,Colorado Avalanche,W,2002,October,Monday
2002-10-31,1,San Jose Sharks,W,2002,October,Wednesday
2002-11-02,1,Vancouver Canucks,L,2002,November,Tuesday
2002-11-12,1,Edmonton Oilers,L,2002,November,Friday
2002-11-14,1,Pittsburgh Penguins,T,2002,November,Sunday
2002-11-16,1,Washington Capitals,W,2002,November,Tuesday
2002-11-19,1,Los Angeles Kings,T,2002,November,Friday
2002-11-23,1,Nashville Predators,W,2002,November,Tuesday
2002-11-25,1,Vancouver Canucks,L,2002,November,Thursday
2002-11-29,1,Colorado Avalanche,T,2002,November,Monday
2002-12-10,1,Tampa Bay Lightning,W,2002,December,Wednesday
2002-12-15,1,Carolina Hurricanes,W,2002,December,Monday
2002-12-17,1,Edmonton Oilers,W,2002,December,Wednesday
2002-12-19,1,New York Islanders,L,2002,December,Friday
2002-12-23,1,Calgary Flames,L,2002,December,Tuesday
2002-12-31,1,Mighty Ducks of Anaheim,W,2002,December,Wednesday
2003-01-06,1,Los Angeles Kings,L,2003,January,Saturday
2003-01-08,1,Columbus Blue Jackets,L,2003,January,Monday
2003-01-10,1,Phoenix Coyotes,W,2003,January,Wednesday
2003-01-14,1,Buffalo Sabres,L,2003,January,Sunday
2003-01-16,1,Vancouver Canucks,W,2003,January,Tuesday
2003-01-18,1,Mighty Ducks of Anaheim,L,2003,January,Thursday
2003-02-05,1,Chicago Blackhawks,W,2003,February,Friday
2003-02-07,1,San Jose Sharks,W,2003,February,Sunday
2003-02-12,1,Philadelphia Flyers,W,2003,February,Friday
2003-02-14,1,Phoenix Coyotes,L,2003,February,Sunday
2003-02-19,1,New York Rangers,L,2003,February,Friday
2003-02-23,1,St. Louis Blues,W,2003,February,Tuesday
2003-03-04,1,New Jersey Devils,W,2003,March,Thursday
2003-03-12,1,Dallas Stars,W,2003,March,Friday
2003-03-14,1,Nashville Predators,W,2003,March,Sunday
2003-03-23,1,Detroit Red Wings,W,2003,March,Tuesday
2003-03-26,1,St. Louis Blues,L,2003,March,Friday
2003-03-28,1,Chicago Blackhawks,W,2003,March,Sunday
2003-03-31,1,Calgary Flames,W,2003,March,Wednesday
2003-04-06,1,Columbus Blue Jackets,W,2003,April,Saturday
2003-10-10,1,New York Rangers,W,2003,October,Wednesday
2003-10-12,1,San Jose Sharks,L,2003,October,Friday
2003-10-16,1,Colorado Avalanche,L,2003,October,Tuesday
2003-10-18,1,Vancouver Canucks,T,2003,October,Thursday
2003-10-21,1,Calgary Flames,L,2003,October,Sunday
2003-10-30,1,Atlanta Thrashers,W,2003,October,Tuesday
2003-11-01,1,Washington Capitals,W,2003,November,Monday
2003-11-11,1,Vancouver Canucks,W,2003,November,Thursday
2003-11-13,1,Edmonton Oilers,L,2003,November,Saturday
2003-11-15,1,Detroit Red Wings,T,2003,November,Monday
2003-11-22,1,Detroit Red Wings,L,2003,November,Monday
2003-11-26,1,Dallas Stars,L,2003,November,Friday
2003-11-28,1,San Jose Sharks,L,2003,November,Sunday
2003-11-30,1,Mighty Ducks of Anaheim,T,2003,November,Tuesday
2003-12-09,1,Calgary Flames,W,2003,December,Tuesday
2003-12-11,1,Toronto Maple Leafs,L,2003,December,Thursday
2003-12-13,1,Buffalo Sabres,W,2003,December,Saturday
2003-12-20,1,Columbus Blue Jackets,W,2003,December,Saturday
2003-12-23,1,Nashville Predators,T,2003,December,Tuesday
2004-01-02,1,Edmonton Oilers,L,2004,January,Tuesday
2004-01-07,1,Chicago Blackhawks,W,2004,January,Sunday
2004-01-09,1,Phoenix Coyotes,L,2004,January,Tuesday
2004-01-12,1,Nashville Predators,T,2004,January,Friday
2004-01-14,1,Los Angeles Kings,T,2004,January,Sunday
2004-01-16,1,Pittsburgh Penguins,W,2004,January,Tuesday
2004-01-21,1,Chicago Blackhawks,W,2004,January,Sunday
2004-01-29,1,Montreal Canadiens,L,2004,January,Monday
2004-02-02,1,St. Louis Blues,W,2004,February,Tuesday
2004-02-10,1,Los Angeles Kings,L,2004,February,Wednesday
2004-02-13,1,Edmonton Oilers,W,2004,February,Saturday
2004-02-15,1,Calgary Flames,L,2004,February,Monday
2004-02-19,1,Vancouver Canucks,W,2004,February,Friday
2004-02-22,1,Colorado Avalanche,L,2004,February,Monday
2004-02-29,1,Carolina Hurricanes,T,2004,February,Monday
2004-03-14,1,Columbus Blue Jackets,W,2004,March,Sunday
2004-03-16,1,Ottawa Senators,W,2004,March,Tuesday
2004-03-22,1,Phoenix Coyotes,L,2004,March,Monday
2004-03-28,1,Mighty Ducks of Anaheim,W,2004,March,Sunday
2004-03-31,1,Colorado Avalanche,W,2004,March,Wednesday
2004-04-02,1,Dallas Stars,W,2004,April,Tuesday
2004-04-04,1,St. Louis Blues,W,2004,April,Thursday
2001-10-10,1,Boston Bruins,W,2001,October,Wednesday
2001-10-12,1,Chicago Blackhawks,W,2001,October,Friday
2001-10-14,1,Edmonton Oilers,T,2001,October,Sunday
2001-10-16,1,San Jose Sharks,T,2001,October,Tuesday
2001-10-19,1,St. Louis Blues,L,2001,October,Friday
2001-10-24,1,Carolina Hurricanes,L,2001,October,Wednesday
2001-10-31,1,Nashville Predators,L,2001,October,Wednesday
2001-11-02,1,Colorado Avalanche,W,2001,November,Tuesday
2001-11-04,1,Edmonton Oilers,L,2001,November,Thursday
2001-11-11,1,Vancouver Canucks,L,2001,November,Thursday
2001-11-13,1,Atlanta Thrashers,W,2001,November,Saturday
2001-11-18,1,Los Angeles Kings,T,2001,November,Thursday
2001-11-23,1,Phoenix Coyotes,W,2001,November,Tuesday
2001-11-25,1,Dallas Stars,L,2001,November,Thursday
2001-11-27,1,Vancouver Canucks,W,2001,November,Saturday
2001-11-29,1,Florida Panthers,W,2001,November,Monday
2001-12-02,1,St. Louis Blues,T,2001,December,Tuesday
2001-12-16,1,Colorado Avalanche,L,2001,December,Tuesday
2001-12-18,1,Mighty Ducks of Anaheim,L,2001,December,Thursday
2001-12-26,1,Detroit Red Wings,T,2001,December,Friday
2002-01-02,1,Tampa Bay Lightning,W,2002,January,Tuesday
2002-01-04,1,Nashville Predators,W,2002,January,Thursday
2002-01-06,1,Buffalo Sabres,L,2002,January,Saturday
2002-01-08,1,Montreal Canadiens,W,2002,January,Monday
2002-01-11,1,Mighty Ducks of Anaheim,T,2002,January,Thursday
2002-01-13,1,Dallas Stars,L,2002,January,Saturday
2002-01-26,1,New Jersey Devils,T,2002,January,Friday
2002-01-28,1,Calgary Flames,L,2002,January,Sunday
2002-01-30,1,Los Angeles Kings,L,2002,January,Tuesday
2002-02-08,1,Colorado Avalanche,L,2002,February,Monday
2002-02-10,1,New York Islanders,W,2002,February,Wednesday
2002-02-13,1,Detroit Red Wings,L,2002,February,Saturday
2002-03-05,1,New York Rangers,L,2002,March,Friday
2002-03-10,1,Columbus Blue Jackets,W,2002,March,Wednesday
2002-03-12,1,Ottawa Senators,L,2002,March,Friday
2002-03-17,1,Phoenix Coyotes,T,2002,March,Wednesday
2002-03-18,1,Calgary Flames,W,2002,March,Thursday
2002-03-20,1,Columbus Blue Jackets,L,2002,March,Saturday
2002-03-29,1,Chicago Blackhawks,L,2002,March,Monday
2002-04-08,1,San Jose Sharks,W,2002,April,Monday
2002-04-14,1,Edmonton Oilers,L,2002,April,Sunday
2000-10-11,1,Philadelphia Flyers,T,2000,October,Thursday
2000-10-15,1,Edmonton Oilers,L,2000,October,Monday
2000-10-18,1,Tampa Bay Lightning,W,2000,October,Thursday
2000-10-20,1,San Jose Sharks,L,2000,October,Saturday
2000-10-22,1,Florida Panthers,T,2000,October,Monday
2000-10-27,1,Calgary Flames,W,2000,October,Saturday
2000-10-29,1,Chicago Blackhawks,L,2000,October,Monday
2000-11-08,1,Calgary Flames,L,2000,November,Monday
2000-11-12,1,Edmonton Oilers,L,2000,November,Friday
2000-11-15,1,New York Rangers,L,2000,November,Monday
2000-11-22,1,Calgary Flames,T,2000,November,Monday
2000-11-24,1,Chicago Blackhawks,W,2000,November,Wednesday
2000-11-26,1,Vancouver Canucks,W,2000,November,Friday
2000-12-08,1,Mighty Ducks of Anaheim,L,2000,December,Monday
2000-12-10,1,Nashville Predators,L,2000,December,Wednesday
2000-12-13,1,Carolina Hurricanes,T,2000,December,Saturday
2000-12-17,1,Dallas Stars,W,2000,December,Wednesday
2000-12-20,1,Ottawa Senators,T,2000,December,Saturday
2000-12-22,1,Los Angeles Kings,W,2000,December,Monday
2000-12-29,1,Phoenix Coyotes,T,2000,December,Monday
2000-12-31,1,Mighty Ducks of Anaheim,W,2000,December,Wednesday
2001-01-03,1,Atlanta Thrashers,T,2001,January,Wednesday
2001-01-05,1,Detroit Red Wings,W,2001,January,Friday
2001-01-10,1,Washington Capitals,W,2001,January,Wednesday
2001-01-12,1,Colorado Avalanche,L,2001,January,Friday
2001-01-17,1,Columbus Blue Jackets,W,2001,January,Wednesday
2001-01-19,1,New York Islanders,W,2001,January,Friday
2001-01-21,1,New Jersey Devils,L,2001,January,Sunday
2001-02-11,1,Pittsburgh Penguins,W,2001,February,Thursday
2001-02-16,1,Los Angeles Kings,L,2001,February,Tuesday
2001-02-18,1,San Jose Sharks,W,2001,February,Thursday
2001-02-26,1,Vancouver Canucks,L,2001,February,Friday
2001-03-06,1,St. Louis Blues,T,2001,March,Saturday
2001-03-11,1,Detroit Red Wings,L,2001,March,Thursday
2001-03-14,1,St. Louis Blues,L,2001,March,Sunday
2001-03-19,1,Dallas Stars,L,2001,March,Friday
2001-03-21,1,Nashville Predators,T,2001,March,Sunday
2001-03-25,1,Vancouver Canucks,T,2001,March,Thursday
2001-03-28,1,Phoenix Coyotes,L,2001,March,Sunday
2001-04-06,1,Columbus Blue Jackets,W,2001,April,Saturday
2001-04-08,1,Colorado Avalanche,L,2001,April,Monday
2022-05-02,1,St. Louis Blues,L,2022,May,Tuesday
2022-05-04,1,St. Louis Blues,W,2022,May,Thursday
2022-05-10,1,St. Louis Blues,L,2022,May,Wednesday
2021-05-20,1,Vegas Golden Knights,L,2021,May,Saturday
2021-05-22,1,Vegas Golden Knights,L,2021,May,Monday
2021-05-26,1,Vegas Golden Knights,W,2021,May,Friday
2020-08-06,1,Vancouver Canucks,L,2020,August,Saturday
2020-08-07,1,Vancouver Canucks,L,2020,August,Sunday
2018-04-15,1,Winnipeg Jets,W,2018,April,Monday
2018-04-17,1,Winnipeg Jets,L,2018,April,Wednesday
2017-04-12,1,St. Louis Blues,L,2017,April,Friday
2017-04-14,1,St. Louis Blues,L,2017,April,Sunday
2017-04-22,1,St. Louis Blues,L,2017,April,Monday
2016-04-18,1,Dallas Stars,W,2016,April,Thursday
2016-04-20,1,Dallas Stars,L,2016,April,Saturday
2016-04-24,1,Dallas Stars,L,2016,April,Wednesday
2015-04-20,1,St. Louis Blues,W,2015,April,Saturday
2015-04-22,1,St. Louis Blues,L,2015,April,Monday
2015-04-26,1,St. Louis Blues,W,2015,April,Friday
2015-05-05,1,Chicago Blackhawks,L,2015,May,Friday
2015-05-07,1,Chicago Blackhawks,L,2015,May,Sunday
2014-04-21,1,Colorado Avalanche,W,2014,April,Sunday
2014-04-24,1,Colorado Avalanche,W,2014,April,Wednesday
2014-04-28,1,Colorado Avalanche,W,2014,April,Sunday
2014-05-06,1,Chicago Blackhawks,W,2014,May,Saturday
2014-05-09,1,Chicago Blackhawks,W,2014,May,Tuesday
2014-05-13,1,Chicago Blackhawks,L,2014,May,Saturday
2013-05-05,1,Chicago Blackhawks,W,2013,May,Friday
2013-05-07,1,Chicago Blackhawks,L,2013,May,Sunday
2008-04-09,1,Colorado Avalanche,L,2008,April,Tuesday
2008-04-11,1,Colorado Avalanche,W,2008,April,Thursday
2008-04-17,1,Colorado Avalanche,L,2008,April,Wednesday
2003-04-14,1,Colorado Avalanche,L,2003,April,Sunday
2003-04-16,1,Colorado Avalanche,L,2003,April,Tuesday
2003-04-21,1,Colorado Avalanche,W,2003,April,Sunday
2003-04-29,1,Vancouver Canucks,L,2003,April,Monday
2003-05-02,1,Vancouver Canucks,L,2003,May,Tuesday
2003-05-07,1,Vancouver Canucks,W,2003,May,Sunday
2003-05-10,1,Mighty Ducks of Anaheim,L,2003,May,Wednesday
2003-05-12,1,Mighty Ducks of Anaheim,L,2003,May,Friday
2007-04-15,1,Anaheim Ducks,L,2007,April,Monday
2007-04-17,1,Anaheim Ducks,W,2007,April,Wednesday
