Teams,Year,bat_avg_age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
MIA,2022,29,162,5949,5395,586,1241,248,20,144,554,122,29,436,1429,0.23,0.294,0.363,0.658,86,1961,120,70,4,36,6
MIL,2000,28.9,163,6355,5563,740,1366,297,25,177,708,72,44,620,1245,0.246,0.325,0.403,0.729,85,2244,126,61,61,49,47
MIL,2001,29.5,162,6148,5488,740,1378,273,30,209,712,66,36,488,1399,0.251,0.319,0.426,0.745,93,2338,102,72,65,35,44
MIL,2002,30,162,6083,5415,627,1369,269,29,139,597,94,50,500,1125,0.253,0.32,0.39,0.711,88,2113,144,55,79,34,37
MIL,2003,29.9,162,6270,5548,714,1423,266,24,196,685,99,39,547,1221,0.256,0.329,0.419,0.748,96,2325,158,71,62,40,41
MIL,2004,28.6,161,6195,5483,634,1358,295,32,135,601,138,40,540,1312,0.248,0.321,0.387,0.708,83,2122,120,68,56,40,49
MIL,2005,28.6,162,6156,5448,726,1413,327,19,175,689,79,34,531,1162,0.259,0.331,0.423,0.754,97,2303,137,73,66,38,55
MIL,2006,28.8,162,6130,5433,730,1400,301,20,180,695,71,37,502,1233,0.258,0.327,0.42,0.747,89,2281,133,82,58,53,48
MIL,2007,27.5,162,6238,5554,801,1455,310,37,231,774,96,32,501,1137,0.262,0.329,0.456,0.785,101,2532,112,76,60,47,60
MIL,2008,28.5,162,6252,5535,750,1398,324,35,198,722,108,38,550,1203,0.253,0.325,0.431,0.757,99,2386,97,69,54,43,44
MIL,2009,29.3,162,6296,5510,785,1447,281,37,182,757,68,37,610,1231,0.263,0.341,0.426,0.767,103,2348,128,71,58,47,44
MIL,2010,27.7,162,6304,5606,750,1471,293,33,182,710,81,26,546,1216,0.262,0.335,0.424,0.759,103,2376,115,81,35,35,35
MIL,2011,28.8,162,6113,5447,721,1422,276,31,185,693,94,31,481,1083,0.261,0.325,0.425,0.75,102,2315,114,56,85,44,53
MIL,2012,29.2,162,6225,5557,776,1442,300,39,202,741,158,39,466,1240,0.259,0.325,0.437,0.762,101,2426,111,90,76,35,35
MIL,2013,27.9,162,6064,5474,640,1381,238,43,157,610,142,50,407,1183,0.252,0.311,0.398,0.708,93,2176,116,71,77,35,22
MIL,2014,28.8,162,6065,5462,650,1366,297,28,150,617,102,43,423,1197,0.25,0.311,0.397,0.708,95,2169,135,73,70,37,32
MIL,2015,28.2,162,6024,5480,655,1378,274,34,145,624,84,29,412,1299,0.251,0.307,0.393,0.7,91,2155,130,41,55,34,35
MIL,2016,27.5,162,6061,5330,671,1299,249,19,194,641,181,56,599,1543,0.244,0.322,0.407,0.729,92,2168,131,37,53,39,34
MIL,2017,27.4,162,6135,5467,732,1363,267,22,224,695,128,41,547,1571,0.249,0.322,0.429,0.751,94,2346,116,53,42,26,34
MIL,2018,29,163,6210,5542,754,1398,252,24,218,711,124,32,537,1458,0.252,0.323,0.424,0.747,99,2352,128,58,29,41,32
MIL,2019,29,162,6309,5542,769,1366,279,17,250,744,101,25,629,1563,0.246,0.329,0.438,0.767,97,2429,120,72,20,38,42
MIL,2020,28.5,60,2188,1920,247,429,83,5,75,238,15,11,221,582,0.223,0.313,0.389,0.702,87,747,53,35,0,10,8
MIL,2021,28.8,162,6099,5362,738,1251,255,18,194,700,82,21,586,1465,0.233,0.317,0.396,0.713,92,2124,102,88,25,35,26
MIL,2022,29.2,162,6122,5417,725,1271,251,17,219,703,96,30,577,1464,0.235,0.315,0.409,0.724,105,2213,117,80,11,37,25
MIN,2000,26.5,162,6283,5615,748,1516,325,49,116,711,90,45,556,1021,0.27,0.337,0.407,0.744,85,2287,143,35,24,51,31
MIN,2001,26.3,162,6185,5560,771,1514,328,38,164,717,146,67,495,1083,0.272,0.337,0.433,0.77,101,2410,124,64,25,38,42
MIN,2002,26.7,161,6196,5582,768,1518,348,36,167,731,79,62,472,1089,0.272,0.332,0.437,0.769,103,2439,121,56,34,52,30
MIN,2003,27.3,162,6324,5655,801,1567,318,45,155,755,94,44,512,1027,0.277,0.341,0.431,0.772,102,2440,139,63,42,52,36
MIN,2004,27.9,162,6286,5623,780,1494,310,24,191,735,116,46,513,982,0.266,0.332,0.431,0.763,96,2425,130,64,46,40,42
MIN,2005,27.7,162,6192,5564,688,1441,269,32,134,644,102,44,485,978,0.259,0.323,0.391,0.714,88,2176,155,59,42,42,49
MIN,2006,28.4,162,6228,5602,801,1608,275,34,143,754,101,42,490,872,0.287,0.347,0.425,0.771,101,2380,163,50,31,55,46
MIN,2007,28.5,162,6161,5522,718,1460,273,36,118,671,112,30,512,839,0.264,0.33,0.391,0.721,94,2159,149,48,34,45,41
MIN,2008,26.3,163,6331,5641,829,1572,298,49,111,791,102,42,529,979,0.279,0.34,0.408,0.748,102,2301,142,36,52,72,48
MIN,2009,27.7,163,6346,5608,817,1539,271,40,172,770,85,32,585,1021,0.274,0.345,0.429,0.774,104,2406,147,45,51,57,46
MIN,2010,28.5,162,6257,5568,781,1521,318,41,142,749,68,28,559,967,0.273,0.341,0.422,0.762,109,2347,159,39,38,53,45
MIN,2011,27.6,162,6020,5487,619,1357,259,25,103,572,92,39,440,1048,0.247,0.306,0.36,0.666,84,1975,115,37,31,25,24
MIN,2012,29,162,6209,5562,701,1448,270,30,131,666,135,37,505,1069,0.26,0.325,0.39,0.715,98,2171,149,53,33,56,28
MIN,2013,28.4,162,6212,5564,614,1346,285,15,151,590,52,33,533,1430,0.242,0.312,0.38,0.692,90,2114,103,52,29,32,20
MIN,2014,27.6,162,6233,5567,715,1412,316,27,128,675,99,36,544,1329,0.254,0.324,0.389,0.713,100,2166,97,53,25,44,29
MIN,2015,28.4,162,6017,5467,696,1349,277,44,156,661,70,38,439,1264,0.247,0.305,0.399,0.704,92,2182,133,40,30,41,31
MIN,2016,27,162,6245,5618,722,1409,288,35,200,690,91,32,513,1426,0.251,0.316,0.421,0.738,98,2367,96,44,27,43,24
MIN,2017,27.2,162,6261,5557,815,1444,286,31,206,781,95,28,593,1342,0.26,0.334,0.434,0.768,104,2410,105,46,26,39,26
MIN,2018,28.3,162,6154,5526,738,1379,317,22,166,704,47,27,534,1328,0.25,0.318,0.405,0.723,96,2238,89,37,19,38,25
MIN,2019,27.9,162,6392,5732,939,1547,318,23,307,906,28,21,525,1334,0.27,0.338,0.494,0.832,118,2832,101,81,10,41,21
MIN,2020,28.9,60,2168,1937,269,468,81,3,91,258,14,7,186,528,0.242,0.315,0.427,0.743,104,828,38,29,2,14,9
MIN,2021,28.4,162,6078,5431,729,1311,271,17,228,690,54,15,525,1405,0.241,0.314,0.423,0.738,103,2300,122,70,7,42,17
MIN,2022,27,162,6113,5476,696,1356,269,18,178,668,38,17,518,1353,0.248,0.317,0.401,0.718,107,2195,133,62,10,46,11
NYA,2000,31.4,161,6311,5556,871,1541,294,25,205,833,99,48,631,1007,0.277,0.354,0.45,0.804,103,2500,134,57,16,50,42
NYA,2001,31.3,161,6233,5577,804,1488,289,20,203,774,161,53,519,1035,0.267,0.334,0.435,0.769,100,2426,119,64,30,43,38
NYA,2002,30.1,161,6377,5601,897,1540,314,12,223,857,100,38,640,1171,0.275,0.354,0.455,0.809,114,2547,150,72,23,41,48
NYA,2003,30.4,163,6431,5605,877,1518,304,14,230,845,98,33,684,1042,0.271,0.356,0.453,0.81,114,2540,154,81,25,35,54
NYA,2004,32.4,162,6364,5527,897,1483,281,20,242,863,84,33,670,982,0.268,0.353,0.458,0.811,111,2530,157,80,37,50,40
NYA,2005,32.4,162,6406,5624,886,1552,259,16,229,847,84,27,637,989,0.276,0.355,0.45,0.805,115,2530,125,73,28,43,41
NYA,2006,31,162,6455,5651,930,1608,327,21,210,902,139,35,649,1053,0.285,0.363,0.461,0.824,111,2607,139,72,34,49,43
NYA,2007,30.9,162,6528,5717,968,1656,326,32,201,929,123,40,637,991,0.29,0.366,0.463,0.829,116,2649,138,78,41,54,32
NYA,2008,31.6,162,6257,5572,789,1512,289,20,180,758,118,39,535,1015,0.271,0.342,0.427,0.769,101,2381,149,80,31,39,36
NYA,2009,30.8,162,6449,5660,915,1604,325,21,244,881,111,28,663,1014,0.283,0.362,0.478,0.839,114,2703,144,54,31,39,35
NYA,2010,30.5,162,6379,5567,859,1485,275,32,201,823,103,30,662,1136,0.267,0.35,0.436,0.786,108,2427,124,73,33,44,36
NYA,2011,30.8,162,6306,5518,867,1452,267,33,222,836,147,46,627,1138,0.263,0.343,0.444,0.788,110,2451,146,74,36,51,34
NYA,2012,33,162,6231,5524,804,1462,280,13,245,774,93,27,565,1176,0.265,0.337,0.453,0.79,112,2503,136,62,31,49,31
NYA,2013,32,162,6045,5449,650,1321,247,24,144,614,115,31,466,1214,0.242,0.307,0.376,0.683,88,2048,121,57,36,36,33
NYA,2014,32.9,162,6082,5497,633,1349,247,26,147,591,112,26,452,1133,0.245,0.307,0.38,0.687,94,2089,111,56,29,47,16
NYA,2015,31.6,162,6268,5567,764,1397,272,19,212,737,63,25,554,1227,0.251,0.323,0.421,0.744,102,2343,105,63,24,54,23
NYA,2016,30.2,162,6059,5458,680,1378,245,20,183,647,72,22,475,1188,0.252,0.315,0.405,0.72,91,2212,121,42,21,49,19
NYA,2017,28.7,162,6354,5594,858,1463,266,23,241,821,90,22,616,1386,0.262,0.339,0.447,0.785,105,2498,119,64,18,56,22
NYA,2018,27.3,162,6271,5515,851,1374,269,23,267,821,63,21,625,1421,0.249,0.329,0.451,0.781,112,2490,107,62,10,59,21
NYA,2019,28.4,162,6245,5583,943,1493,290,17,306,904,55,22,569,1437,0.267,0.339,0.49,0.829,118,2735,113,49,10,33,18
NYA,2020,28.5,60,2210,1915,315,473,87,7,94,301,27,7,251,480,0.247,0.342,0.447,0.789,118,856,51,30,1,11,5
NYA,2021,29.4,162,6060,5331,711,1266,213,12,222,666,63,18,621,1482,0.237,0.322,0.407,0.729,100,2169,154,63,10,34,14
NYA,2022,30.4,162,6172,5422,807,1308,225,8,254,764,102,33,620,1391,0.241,0.325,0.426,0.751,113,2311,121,70,14,41,36
NYN,2000,30.4,162,6328,5486,807,1445,281,20,198,761,66,46,675,1037,0.263,0.346,0.43,0.776,98,2360,122,45,70,51,42
NYN,2001,30.4,162,6156,5459,642,1361,273,18,147,608,66,48,545,1062,0.249,0.323,0.387,0.71,87,2111,124,65,52,35,59
NYN,2002,30.8,161,6150,5496,690,1409,238,22,160,650,87,42,486,1044,0.256,0.322,0.395,0.717,92,2171,142,63,75,30,46
NYN,2003,29.2,161,6007,5341,642,1317,262,24,124,607,70,31,489,1035,0.247,0.314,0.374,0.688,81,1999,136,54,78,45,42
NYN,2004,29.7,162,6209,5532,684,1376,289,20,185,658,107,23,512,1159,0.249,0.317,0.409,0.726,88,2260,129,61,69,34,54
NYN,2005,28.6,162,6146,5505,722,1421,279,32,175,683,153,40,486,1075,0.258,0.322,0.416,0.738,95,2289,103,48,69,38,49
NYN,2006,30,162,6291,5558,834,1469,323,41,200,800,146,35,547,1071,0.264,0.334,0.445,0.78,100,2474,114,62,77,47,63
NYN,2007,30.8,162,6344,5605,804,1543,294,27,177,761,200,46,549,981,0.275,0.342,0.432,0.775,101,2422,114,54,77,58,64
NYN,2008,30.1,162,6388,5606,799,1491,274,38,172,751,138,36,619,1024,0.266,0.34,0.42,0.761,101,2357,129,39,73,49,71
NYN,2009,29.5,162,6159,5453,671,1472,295,49,95,631,122,44,526,928,0.27,0.335,0.394,0.729,95,2150,144,36,88,55,49
NYN,2010,28.3,162,6144,5465,656,1361,266,40,128,625,130,44,502,1095,0.249,0.314,0.383,0.697,90,2091,101,46,74,57,53
NYN,2011,27.9,162,6335,5600,718,1477,309,39,108,676,130,35,571,1085,0.264,0.335,0.391,0.725,103,2188,112,51,65,48,56
NYN,2012,27.7,162,6091,5450,650,1357,286,21,139,625,79,38,503,1250,0.249,0.316,0.386,0.701,94,2102,118,42,64,30,43
NYN,2013,28.2,162,6207,5559,619,1318,263,32,130,593,114,35,512,1384,0.237,0.306,0.366,0.672,91,2035,106,51,53,32,40
NYN,2014,28.4,162,6145,5472,629,1306,275,19,125,602,101,34,516,1264,0.239,0.308,0.364,0.673,93,1994,112,54,59,44,42
NYN,2015,28.8,162,6145,5527,683,1351,295,17,177,654,51,25,488,1290,0.244,0.312,0.4,0.712,96,2211,130,68,29,32,42
NYN,2016,29.8,162,6115,5459,671,1342,240,19,218,649,42,18,517,1302,0.246,0.316,0.417,0.733,97,2274,123,62,35,41,43
NYN,2017,29,162,6169,5510,735,1379,286,28,224,713,58,23,529,1291,0.25,0.32,0.434,0.755,101,2393,118,57,36,37,31
NYN,2018,28.5,162,6177,5468,676,1282,265,34,170,649,71,39,566,1404,0.234,0.312,0.389,0.701,96,2125,116,73,28,42,36
NYN,2019,27.9,162,6290,5624,791,1445,280,17,242,767,56,27,516,1384,0.257,0.328,0.442,0.77,105,2485,129,95,28,27,34
NYN,2020,27.8,60,2279,2023,286,551,106,7,86,278,20,10,197,498,0.272,0.348,0.459,0.807,121,929,53,45,1,13,8
NYN,2021,28.2,162,5856,5210,636,1243,228,18,176,604,54,26,495,1392,0.239,0.315,0.391,0.705,93,2035,123,94,34,23,25
NYN,2022,29.8,162,6176,5489,772,1422,272,27,171,735,62,22,510,1217,0.259,0.332,0.412,0.744,113,2261,122,112,20,44,25
OAK,2000,27.4,161,6432,5560,947,1501,281,23,239,908,40,15,750,1159,0.27,0.36,0.458,0.817,109,2545,147,52,26,44,32
OAK,2001,27.4,162,6385,5573,884,1469,334,22,199,835,68,29,640,1021,0.264,0.345,0.439,0.784,107,2444,131,88,25,59,57
OAK,2002,28.7,162,6291,5558,800,1450,279,28,205,772,46,20,609,1008,0.261,0.339,0.432,0.771,106,2400,128,68,20,36,37
OAK,2003,28.4,162,6189,5497,768,1398,317,24,176,742,48,14,556,898,0.254,0.327,0.417,0.743,96,2291,118,59,22,53,52
OAK,2004,29.6,162,6459,5728,793,1545,336,15,189,752,47,22,608,1061,0.27,0.343,0.433,0.776,102,2478,142,55,25,43,40
OAK,2005,28.7,162,6275,5627,772,1476,310,20,155,739,31,22,537,819,0.262,0.33,0.407,0.737,96,2291,148,52,19,40,22
OAK,2006,29.8,162,6281,5500,771,1429,266,22,175,735,61,20,650,976,0.26,0.34,0.412,0.752,97,2264,170,50,25,56,28
OAK,2007,29,162,6365,5577,741,1430,295,16,171,711,52,20,664,1119,0.256,0.338,0.407,0.745,101,2270,142,49,18,56,29
OAK,2008,27.3,161,6138,5451,646,1318,270,23,125,610,88,21,574,1226,0.242,0.318,0.369,0.686,87,2009,126,48,30,35,23
OAK,2009,29.2,162,6247,5584,759,1464,307,21,135,723,133,48,527,1046,0.262,0.328,0.397,0.726,92,2218,130,50,31,54,16
OAK,2010,27.9,162,6117,5448,663,1396,276,30,109,619,156,38,527,1061,0.256,0.324,0.378,0.702,92,2059,129,47,43,51,16
OAK,2011,29.2,162,6104,5452,645,1330,280,29,114,612,117,43,509,1094,0.244,0.311,0.369,0.68,88,2010,119,50,34,57,20
OAK,2012,27.7,162,6183,5527,713,1315,267,32,195,676,122,32,550,1387,0.238,0.31,0.404,0.714,99,2231,97,45,27,34,29
OAK,2013,28.4,162,6209,5521,767,1403,301,25,186,725,74,28,573,1178,0.254,0.327,0.419,0.745,107,2312,108,45,21,49,29
OAK,2014,29.7,162,6245,5545,729,1354,253,33,146,686,83,20,586,1104,0.244,0.32,0.381,0.7,100,2111,118,49,19,43,34
OAK,2015,27.9,162,6171,5600,694,1405,277,46,146,661,78,29,475,1119,0.251,0.312,0.395,0.707,96,2212,124,40,14,38,21
OAK,2016,28.8,162,6022,5500,653,1352,270,21,169,634,50,23,442,1145,0.246,0.304,0.395,0.699,91,2171,142,33,13,34,19
OAK,2017,28.8,162,6126,5464,739,1344,305,15,234,708,57,22,565,1491,0.246,0.319,0.436,0.755,104,2381,129,43,13,40,15
OAK,2018,28.1,162,6255,5579,813,1407,322,20,227,778,35,21,550,1381,0.252,0.325,0.439,0.764,110,2450,136,76,6,44,18
OAK,2019,27.9,162,6269,5561,845,1384,292,23,257,800,49,21,578,1338,0.249,0.327,0.448,0.776,108,2493,140,87,7,36,17
OAK,2020,28.1,60,2201,1908,274,430,91,11,71,264,26,3,238,524,0.225,0.322,0.396,0.718,100,756,44,39,2,14,5
OAK,2021,30.1,162,6104,5395,743,1284,271,19,199,698,88,20,545,1349,0.238,0.317,0.406,0.723,102,2190,99,98,17,49,17
OAK,2022,28.3,162,5863,5314,568,1147,249,15,137,537,78,23,433,1389,0.216,0.281,0.346,0.626,82,1837,109,59,22,33,7
PHI,2000,28.5,162,6273,5511,708,1386,304,40,144,668,102,30,611,1117,0.251,0.329,0.4,0.729,83,2202,115,44,70,37,40
PHI,2001,26.6,162,6219,5497,746,1431,295,29,164,708,153,47,551,1125,0.26,0.329,0.414,0.743,93,2276,104,43,67,61,52
PHI,2002,27.3,161,6323,5523,710,1428,325,41,165,676,104,43,640,1095,0.259,0.339,0.422,0.761,105,2330,129,53,67,39,70
PHI,2003,28.1,162,6333,5543,791,1448,325,27,166,757,72,29,651,1155,0.261,0.343,0.419,0.762,104,2325,120,55,46,38,56
PHI,2004,29.1,162,6456,5643,840,1505,303,23,215,802,100,27,645,1133,0.267,0.345,0.443,0.788,98,2499,123,58,64,46,60
PHI,2005,30,162,6345,5542,807,1494,282,35,167,760,116,27,639,1083,0.27,0.348,0.423,0.772,98,2347,107,56,62,46,76
PHI,2006,29.1,162,6509,5687,865,1518,294,41,216,823,92,25,626,1203,0.267,0.347,0.447,0.794,98,2542,115,95,57,44,67
PHI,2007,28.7,162,6537,5688,892,1558,326,41,213,850,138,19,641,1205,0.274,0.354,0.458,0.812,105,2605,125,90,65,52,74
PHI,2008,30,162,6273,5509,799,1407,291,36,214,762,136,25,586,1117,0.255,0.332,0.438,0.77,99,2412,108,67,71,40,68
PHI,2009,31.3,162,6338,5578,820,1439,312,35,224,788,119,28,589,1155,0.258,0.334,0.447,0.781,104,2493,90,71,55,45,47
PHI,2010,31.9,162,6291,5581,772,1451,290,34,166,736,108,21,560,1064,0.26,0.332,0.413,0.745,98,2307,120,63,44,43,69
PHI,2011,31.7,162,6279,5579,713,1409,258,38,153,693,96,24,539,1024,0.253,0.323,0.395,0.717,96,2202,108,56,65,38,52
PHI,2012,31.4,162,6172,5544,684,1414,271,28,158,659,116,23,454,1094,0.255,0.317,0.4,0.716,92,2215,114,63,72,39,41
PHI,2013,30.2,162,6014,5456,610,1355,255,32,140,578,73,29,417,1205,0.248,0.306,0.384,0.69,91,2094,131,53,57,31,41
PHI,2014,31.1,162,6198,5603,619,1356,251,27,125,584,109,26,443,1306,0.242,0.302,0.363,0.665,85,2036,94,55,59,37,42
PHI,2015,28.1,162,6053,5529,626,1374,272,37,130,586,88,32,387,1274,0.249,0.303,0.382,0.684,89,2110,119,54,53,29,20
PHI,2016,26.9,162,5992,5434,610,1305,231,35,161,574,96,45,424,1376,0.24,0.301,0.384,0.685,82,2089,112,58,46,30,33
PHI,2017,26.5,162,6133,5535,690,1382,287,36,174,654,59,25,494,1417,0.25,0.315,0.409,0.723,89,2263,128,47,21,36,25
PHI,2018,26.8,162,6136,5424,677,1270,241,30,186,653,69,26,582,1520,0.234,0.314,0.393,0.707,89,2129,102,64,32,32,33
PHI,2019,27.6,162,6261,5571,774,1369,311,26,215,742,78,18,562,1453,0.246,0.319,0.427,0.746,92,2377,97,57,34,34,47
PHI,2020,28.6,60,2223,1948,306,500,90,10,82,289,35,8,229,480,0.257,0.342,0.439,0.781,109,856,40,28,8,10,16
PHI,2021,29.3,162,6089,5366,734,1288,262,24,198,700,77,19,564,1402,0.24,0.318,0.408,0.726,95,2192,103,67,47,43,37
PHI,2022,28.3,162,6077,5496,747,1392,255,29,205,719,105,28,478,1363,0.253,0.317,0.422,0.739,107,2320,116,52,6,44,15
PIT,2000,28.4,162,6369,5643,793,1506,320,31,168,749,86,40,564,1032,0.267,0.339,0.424,0.762,92,2392,133,66,59,37,41
PIT,2001,27.7,162,6027,5398,657,1333,256,25,161,618,93,73,467,1106,0.247,0.313,0.393,0.706,79,2122,114,67,60,35,51
PIT,2002,27.8,161,6049,5330,641,1300,263,20,142,610,86,49,537,1109,0.244,0.319,0.381,0.7,82,2029,97,73,68,41,44
PIT,2003,29.8,162,6315,5581,753,1492,275,45,163,711,86,37,529,1049,0.267,0.338,0.42,0.758,95,2346,112,87,79,38,42
PIT,2004,27.1,161,6115,5483,680,1428,267,39,142,648,63,40,415,1066,0.26,0.321,0.401,0.722,87,2199,117,95,79,42,33
PIT,2005,27.3,162,6221,5573,680,1445,292,38,139,656,73,30,471,1092,0.259,0.322,0.4,0.723,90,2230,130,72,56,49,38
PIT,2006,27.7,162,6218,5558,691,1462,286,17,141,656,68,23,459,1200,0.263,0.327,0.397,0.723,86,2205,153,89,62,49,49
PIT,2007,27.2,162,6214,5569,724,1463,322,31,148,694,68,30,463,1135,0.263,0.325,0.411,0.736,92,2291,130,71,60,51,31
PIT,2008,28.5,162,6278,5628,735,1454,314,21,153,705,57,19,474,1039,0.258,0.32,0.403,0.723,92,2269,111,59,66,51,40
PIT,2009,27.1,161,6058,5417,636,1364,289,34,125,612,90,32,499,1142,0.252,0.318,0.387,0.705,87,2096,124,46,60,36,44
PIT,2010,26.3,162,5974,5386,587,1303,276,27,126,570,87,36,463,1207,0.242,0.304,0.373,0.678,84,2011,119,33,58,33,28
PIT,2011,27.2,162,6064,5421,610,1325,277,35,107,580,108,52,489,1308,0.244,0.309,0.368,0.676,90,1993,123,34,75,44,31
PIT,2012,27.6,162,6014,5412,651,1313,241,37,170,620,73,52,444,1354,0.243,0.304,0.395,0.699,93,2138,98,51,62,45,32
PIT,2013,27.9,162,6135,5486,634,1346,273,35,161,603,94,42,469,1330,0.245,0.313,0.396,0.709,100,2172,120,88,62,29,41
PIT,2014,27.3,162,6224,5536,682,1436,275,30,156,659,104,47,520,1244,0.259,0.33,0.404,0.734,106,2239,127,78,54,35,46
PIT,2015,28.2,162,6285,5631,697,1462,292,27,140,661,98,45,461,1322,0.26,0.323,0.396,0.719,97,2228,115,89,63,41,46
PIT,2016,28.9,162,6261,5542,729,1426,277,32,153,696,110,45,561,1334,0.257,0.332,0.402,0.734,96,2226,133,81,41,36,39
PIT,2017,28.3,162,6136,5458,668,1331,249,36,151,635,67,36,519,1213,0.244,0.318,0.386,0.704,86,2105,120,88,42,28,39
PIT,2018,28,161,6066,5447,692,1381,290,38,157,665,70,38,474,1229,0.254,0.317,0.407,0.725,98,2218,121,59,31,52,38
PIT,2019,27.5,162,6228,5657,758,1497,315,38,163,722,64,29,425,1213,0.265,0.321,0.42,0.741,94,2377,119,63,47,34,41
PIT,2020,27.1,60,2134,1932,219,425,76,6,59,210,16,11,167,521,0.22,0.284,0.357,0.641,74,690,34,11,7,15,6
PIT,2021,27.6,162,5983,5336,609,1261,240,35,124,570,60,30,529,1328,0.236,0.309,0.364,0.673,82,1943,102,49,31,37,24
PIT,2022,26.4,162,5912,5331,591,1186,221,29,158,555,89,32,476,1497,0.222,0.291,0.364,0.655,84,1939,96,54,19,32,14
SDN,2000,28.7,162,6291,5560,752,1413,279,37,157,714,131,53,602,1177,0.254,0.33,0.402,0.732,91,2237,123,46,39,43,50
SDN,2001,28.9,162,6278,5482,789,1379,273,26,161,753,129,44,678,1273,0.252,0.336,0.399,0.735,97,2187,121,41,29,48,37
SDN,2002,29.2,162,6178,5515,662,1393,243,29,136,627,71,44,547,1062,0.253,0.321,0.381,0.702,93,2102,132,30,45,41,42
SDN,2003,28.4,162,6246,5531,678,1442,257,32,128,641,76,39,565,1073,0.261,0.333,0.388,0.721,96,2147,142,57,50,42,34
SDN,2004,29.6,162,6313,5573,768,1521,304,32,139,722,52,25,566,910,0.273,0.342,0.414,0.756,104,2306,128,56,52,66,45
SDN,2005,31.1,162,6271,5502,684,1416,269,39,130,655,99,44,600,977,0.257,0.333,0.391,0.724,97,2153,122,49,72,48,41
SDN,2006,30.8,162,6287,5576,731,1465,298,38,161,698,123,31,564,1104,0.263,0.332,0.416,0.749,99,2322,127,40,59,47,37
SDN,2007,29.9,163,6326,5612,741,1408,322,31,171,704,55,24,557,1229,0.251,0.322,0.411,0.732,97,2305,113,49,64,44,45
SDN,2008,29,162,6244,5568,637,1390,264,27,154,615,36,17,518,1259,0.25,0.317,0.39,0.707,96,2170,129,53,59,46,35
SDN,2009,28.1,162,6179,5425,638,1315,265,31,141,605,82,29,586,1182,0.242,0.321,0.381,0.701,93,2065,131,57,74,36,52
